edition_uuid,card_name,card_slug,edition_slug,set_prefix,set_name,collector_number,rarity,configuration,image,index_url
jujhz4fyy9,Idle Thoughts,idle-thoughts,idle-thoughts-ambsd,AMBSD,Mortal Ambition Starter Decks,028,1,default,/cards/images/jujhz4fyy9.jpg,https://index.gatcg.com/cards/idle-thoughts-ambsd
wvB73Brx15,"Triskit, Guidance Angel",triskit-guidance-angel,triskit-guidance-angel-doa1e,DOA 1st,Dawn of Ashes First Edition,264,4,default,/cards/images/wvB73Brx15.jpg,https://index.gatcg.com/cards/triskit-guidance-angel-doa1e
oJxHM7bFVy,Anger the Skies,anger-the-skies,anger-the-skies-doap,DOAp,Dawn of Ashes Prelude,101,2,default,/cards/images/oJxHM7bFVy.jpg,https://index.gatcg.com/cards/anger-the-skies-doap
kGdhXWvHFi,Blitz Mage,blitz-mage,blitz-mage-doap,DOAp,Dawn of Ashes Prelude,065,2,default,/cards/images/kGdhXWvHFi.jpg,https://index.gatcg.com/cards/blitz-mage-doap
ctVRMYgJdw,Disorienting Winds,disorienting-winds,disorienting-winds-doap,DOAp,Dawn of Ashes Prelude,086,2,default,/cards/images/ctVRMYgJdw.jpg,https://index.gatcg.com/cards/disorienting-winds-doap
seHW4HxE03,Spirit Blade: Infusion,spirit-blade-infusion,spirit-blade-infusion-doap,DOAp,Dawn of Ashes Prelude,113,2,default,/cards/images/seHW4HxE03.jpg,https://index.gatcg.com/cards/spirit-blade-infusion-doap
zRYKP4YYfx,"Alice, Golden Queen",alice-golden-queen,alice-golden-queen-dtr1e-cur,DTR 1st,Distorted Reflections First Edition,004,8,default,/cards/images/zRYKP4YYfx.jpg,https://index.gatcg.com/cards/alice-golden-queen-dtr1e-cur
dqInYCIiaQ,Idle Thoughts,idle-thoughts,idle-thoughts-dtrsd,DTRSD,Distorted Reflections Starter Decks,028,1,default,/cards/images/dqInYCIiaQ.jpg,https://index.gatcg.com/cards/idle-thoughts-dtrsd
POhUny34MN,Stalwart Shieldmate,stalwart-shieldmate,stalwart-shieldmate-dtrsd,DTRSD,Distorted Reflections Starter Decks,036,1,default,/cards/images/POhUny34MN.jpg,https://index.gatcg.com/cards/stalwart-shieldmate-dtrsd
gki4IZ1bRY,"Elyan, Lustre Loyalty",elyan-lustre-loyalty,elyan-lustre-loyalty-evp-csr,EVP,Event Packs,021,7,default,/cards/images/gki4IZ1bRY.jpg,https://index.gatcg.com/cards/elyan-lustre-loyalty-evp-csr
GYRn8kIosl,"Sabela, Gossamer Penance",sabela-gossamer-penance,sabela-gossamer-penance-evp-csr,EVP,Event Packs,022,7,default,/cards/images/GYRn8kIosl.jpg,https://index.gatcg.com/cards/sabela-gossamer-penance-evp-csr
0qlqbkkvxz,"Merlin, Kingslayer",merlin-kingslayer,merlin-kingslayer-ftc-csra,FTC,Fractured Crown,004A,7,default,/cards/images/0qlqbkkvxz.jpg,https://index.gatcg.com/cards/merlin-kingslayer-ftc-csra
vskyrlv2qq,"Merlin, Kingslayer",merlin-kingslayer,merlin-kingslayer-ftc-csrb,FTC,Fractured Crown,004B,7,default,/cards/images/vskyrlv2qq.jpg,https://index.gatcg.com/cards/merlin-kingslayer-ftc-csrb
62e3i7fjgo,Quicksilver Grail,quicksilver-grail,quicksilver-grail-ftca,FTCA,Fractured Crown: Armaments,016,5,default,/cards/images/62e3i7fjgo.jpg,https://index.gatcg.com/cards/quicksilver-grail-ftca
EkzNUQpm5f,Enchanted Fete,enchanted-fete,enchanted-fete-gsc,GSC,GenSeCha,007,6,default,/cards/images/EkzNUQpm5f.jpg,https://index.gatcg.com/cards/enchanted-fete-gsc
yrWPX5XdDK,Enthralling Visage,enthralling-visage,enthralling-visage-gsc,GSC,GenSeCha,006,6,default,/cards/images/yrWPX5XdDK.jpg,https://index.gatcg.com/cards/enthralling-visage-gsc
rjkfm3rjgb,"Lu Bu, Indomitable Titan",lu-bu-indomitable-titan,lu-bu-indomitable-titan-hvn1e-cur,HVN 1st,Abyssal Heaven First Edition,208,8,flip,/cards/images/rjkfm3rjgb.jpg,https://index.gatcg.com/cards/lu-bu-indomitable-titan-hvn1e-cur
h7q6eocoeh,"Aithne, Spirit of Fire",aithne-spirit-of-fire,aithne-spirit-of-fire-p23-cpr,P23,Promotional 2023,009,9,default,/cards/images/h7q6eocoeh.jpg,https://index.gatcg.com/cards/aithne-spirit-of-fire-p23-cpr
30s60t3ayy,Creative Shock,creative-shock,creative-shock-p23,P23,Promotional 2023,019,6,default,/cards/images/30s60t3ayy.jpg,https://index.gatcg.com/cards/creative-shock-p23
liapiblsgg,Creative Shock,creative-shock,creative-shock-p23-cpr,P23,Promotional 2023,019,9,default,/cards/images/liapiblsgg.jpg,https://index.gatcg.com/cards/creative-shock-p23-cpr
pgzenxkwmp,Fast Cure,fast-cure,fast-cure-p23,P23,Promotional 2023,018,6,default,/cards/images/pgzenxkwmp.jpg,https://index.gatcg.com/cards/fast-cure-p23
xzd03w1sub,Fast Cure,fast-cure,fast-cure-p23-cpr,P23,Promotional 2023,018,9,default,/cards/images/xzd03w1sub.jpg,https://index.gatcg.com/cards/fast-cure-p23-cpr
1yq4xr18ww,"Gwendolyn, Spirit of Wind",gwendolyn-spirit-of-wind,gwendolyn-spirit-of-wind-p23-cpr,P23,Promotional 2023,015,9,default,/cards/images/1yq4xr18ww.jpg,https://index.gatcg.com/cards/gwendolyn-spirit-of-wind-p23-cpr
s5jwsl7ddc,Imperious Highlander,imperious-highlander,imperious-highlander-p23,P23,Promotional 2023,005,6,default,/cards/images/s5jwsl7ddc.jpg,https://index.gatcg.com/cards/imperious-highlander-p23
g505qzzade,Inspiring Call,inspiring-call,inspiring-call-p23,P23,Promotional 2023,006,6,default,/cards/images/g505qzzade.jpg,https://index.gatcg.com/cards/inspiring-call-p23
nkcqjdnuii,Inspiring Call,inspiring-call,inspiring-call-p23-cpr,P23,Promotional 2023,006,9,default,/cards/images/nkcqjdnuii.jpg,https://index.gatcg.com/cards/inspiring-call-p23-cpr
vskyslv2qq,"Morrigan, Lost Spirit",morrigan-lost-spirit,morrigan-lost-spirit-p23-houston,P23,Promotional 2023,010,9,default,/cards/images/vskyslv2qq.jpg,https://index.gatcg.com/cards/morrigan-lost-spirit-p23-houston
d43yb9p4lp,Nullifying Lantern,nullifying-lantern,nullifying-lantern-p23,P23,Promotional 2023,003,6,default,/cards/images/d43yb9p4lp.jpg,https://index.gatcg.com/cards/nullifying-lantern-p23
lzjmwthr88,Orb of Glitter,orb-of-glitter,orb-of-glitter-p23,P23,Promotional 2023,014,6,default,/cards/images/lzjmwthr88.jpg,https://index.gatcg.com/cards/orb-of-glitter-p23
s8rwpvjoz8,Orb of Glitter,orb-of-glitter,orb-of-glitter-p23-cpr,P23,Promotional 2023,014,9,default,/cards/images/s8rwpvjoz8.jpg,https://index.gatcg.com/cards/orb-of-glitter-p23-cpr
aloqk1c7wj,Orb of Regret,orb-of-regret,orb-of-regret-p23,P23,Promotional 2023,013,6,default,/cards/images/aloqk1c7wj.jpg,https://index.gatcg.com/cards/orb-of-regret-p23
5h52fm2dwf,Orb of Regret,orb-of-regret,orb-of-regret-p23-cpr,P23,Promotional 2023,013,9,default,/cards/images/5h52fm2dwf.jpg,https://index.gatcg.com/cards/orb-of-regret-p23-cpr
85xb5y8f33,Ordinary Bear,ordinary-bear,ordinary-bear-p23,P23,Promotional 2023,016,6,default,/cards/images/85xb5y8f33.jpg,https://index.gatcg.com/cards/ordinary-bear-p23
